---,SchemaDemo,CDTeamHetero,DaveHeteroG,PermHomoG,DTeam,LoneForwardTeamHomoG,CommTeam,FemmeBotsHeteroG,JunTeamHeteroG,BriSpec,DoogHomoG,BasicTeam,SchemaNewHetero,DoogHeteroG,GoToBall,MattiHetero,Kechze,BrianTeam,SibHeteroG,AIKHomoG
SchemaDemo,x,1,1,0,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1
CDTeamHetero,3,x,2,0,0,5,15,0,7,1,1,15,1,1,19,7,5,4,0,0
DaveHeteroG,2,6,x,0,3,1,2,0,33,4,1,9,1,1,0,5,1,14,0,2
PermHomoG,0,0,1,x,1,0,7,0,1,0,0,7,1,1,0,0,0,2,0,0
DTeam,4,2,2,1,x,2,13,1,1,6,0,13,1,3,17,5,4,8,5,0
LoneForwardTeamHomoG,3,15,1,0,2,x,22,0,30,3,2,22,1,1,0,7,2,32,0,3
CommTeam,2,4,0,1,0,7,x,3,8,0,3,13,1,0,12,0,1,10,2,0
FemmeBotsHeteroG,4,2,0,0,0,0,13,x,20,0,2,17,1,1,4,7,0,9,0,0
JunTeamHeteroG,18,2,1,0,0,0,6,1,x,1,4,18,1,1,8,5,9,14,1,0
BriSpec,4,9,3,0,0,5,0,1,0,x,0,2,1,3,4,0,1,3,1,0
DoogHomoG,5,10,10,4,7,0,10,7,32,7,x,15,1,3,16,2589176973640255,8,33,4,2
BasicTeam,11,4,1,1,0,7,13,0,15,0,2,x,1,1,12,7,1,10,2,0
SchemaNewHetero,10,3,6,1,3,14,2,5,5,4,5,6,x,1,1,7,1,1,1,1
DoogHeteroG,3,10,11,2,11,0,13,9,21,13,2,17,4,x,15,2891837369883542,7,28,6,3
GoToBall,19,4,0,0,1,0,8,1,4,0,1,8,18,1,x,14,4,2,0,1
MattiHetero,0,0,0,0,5,0,3,0,3,0,3,0,0,3,0,x,5214048662324612,7,0,7
Kechze,2,10,12,0,17,3,8,1,21,12,0,8,4,5,23,5,x,28,2,4
BrianTeam,12,9,6,0,1,1,12,5,10,0,3,12,16,1,7,6,0,x,0,1
SibHeteroG,2,0,6,1,0,3,25,0,17,2,7,25,4,5,11,0,3,6,x,0
AIKHomoG,1,6,7,3,2,7,15,1,17,8,10,15,1,4,30,2,6,15,1,x
